"","BodyW","BrainW"
"1",44.5,3.385
"2",15.5,0.48
"3",8.1,1.35
"4",423,465
"5",119.5,36.33
"6",115,27.66
"7",98.2,14.83
"8",5.5,1.04
"9",58,4.19
"10",6.4,0.425
"11",4,0.101
"12",5.7,0.92
"13",6.6,1
"14",0.14,0.005
"15",1,0.06
"16",10.8,3.5
"17",12.3,2
"18",6.3,1.7
"19",4603,2547
"20",0.3,0.023
"21",419,187.1
"22",655,521
"23",3.5,0.785
"24",115,10
"25",25.6,3.3
"26",5,0.2
"27",17.5,1.41
"28",680,529
"29",406,207
"30",325,85
"31",12.3,0.75
"32",1320,62
"33",5712,6654
"34",3.9,3.5
"35",179,6.8
"36",56,35
"37",17,4.05
"38",1,0.12
"39",0.4,0.023
"40",0.25,0.01
"41",12.5,1.4
"42",490,250
"43",12.1,2.5
"44",175,55.5
"45",157,100
"46",440,52.16
"47",179.5,10.55
"48",2.4,0.55
"49",81,60
"50",21,3.6
"51",39.2,4.288
"52",1.9,0.28
"53",1.2,0.075
"54",3,0.122
"55",0.33,0.048
"56",180,192
"57",25,3
"58",169,160
"59",2.6,0.9
"60",11.4,1.62
"61",2.5,0.104
"62",50.4,4.235
